Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Date,Century,Sphere,Type,Topic,Publication,Medium,Full context,Слово слева,Значение,Meaning number,Зависит ли от какого-то слова в предложении,POS,full_tag,Семантика глагола. К какой сем. группе он относится?,Вершинное слово: препозиция или постпозиция,Расстояние от вершинного слова,Значение (abs),Вершинное слово,Начальная форма,Прямое или переносное значение,Есть ли ещё,Full context
"своими силенками начинает помогать, дергать карандашом",туда-сюда,-,и уже ничего не выходит.,митрополит Антоний (Блум). Сила Божия в немощи совершается (1972),митрополит Антоний (Блум),1914,Сила Божия в немощи совершается,1972,1972,XX 2d half,церковно-богословская,проповедь,религия,"Антоний (Блум), митрополит Сурожский. Любовь всепобеждающая : Проповеди, произнесенные в России",книга,"Но в какой-то момент ребенку кажется, будто он понял, будто он теперь знает, чего от него ожидают, и он своими силенками начинает помогать, дергать карандашом туда-сюда -- и уже ничего не выходит.",карандашом,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, tran",конкретного физического действия,препозиция,1,1,дергать,дёргать,Прямое,Отсутствует,"Но в какой-то момент ребенку кажется, будто он понял, будто он теперь знает, чего от него ожидают, и он своими силенками начинает помогать, дергать карандашом туда-сюда -- и уже ничего не выходит."
"смотрел на людей, как они слоняются",туда-сюда,,по залу.,Василий Шукшин. Штрихи к портрету (1973),Василий Шукшин,1929,Штрихи к портрету,1973,1973,XX 2d half,художественная,рассказ,,"Василий Шукшин. Собрание сочинений (в 3 томах), т3",книга,"Ни с кем не заговаривал, а только сидел на скамейке в зале ожидания и смотрел, смотрел на людей, как они слоняются туда-сюда по залу.",слоняются,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, 3per, pres, indc",движения,препозиция,0,0,слоняются,слоняться,Прямое,Отсутствует,"Ни с кем не заговаривал, а только сидел на скамейке в зале ожидания и смотрел, смотрел на людей, как они слоняются туда-сюда по залу."
"ты -- старик, туда-сюда, после праздников, уезжаю,",туда-сюда,.,,Л. С. Петрушевская. Чинзано (1973),Л. С. Петрушевская,1938,Чинзано,1973,1973,XX 2d half,художественная,пьеса,,"Москва, Изд-во «Искусство», 1989",электронный текст,"А ты -- старик, туда-сюда, после праздников, уезжаю, туда-сюда.",уезжаю,"В разные стороны, во все концы",1,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Прямое,Отсутствует,"А ты -- старик, туда-сюда, после праздников, уезжаю, туда-сюда."
"Ну, книга ещё",туда-сюда,",","тщеславный парень, но мой отзыв ему",В. В. Голявкин. Художник (1973),В. В. Голявкин,1929,Художник,1973,1973,XX 2d half,художественная,рассказ,,"Виктор Голявкин. «Большие скорости». Роман, рассказы",книга,"Ну, книга ещё туда-сюда, тщеславный парень, но мой отзыв ему зачем?",ещё,"Ничего, сойдет ",2,Да,существительное,"NOUN, inan, femn sing, nomn",,препозиция,1,1,книга,книга,Переносное,Присутствует,"Ну, книга ещё туда-сюда, тщеславный парень, но мой отзыв ему зачем?"
против друга и начинаем двигать шкурку,туда-сюда,",","делается приятно, чем быстрее двигаешь, тем",Вадим Сидур. Памятник современному состоянию (1973-1974),Вадим Сидур,1924,Памятник современному состоянию,1973-1974,1973,XX 2d half,художественная,роман,,Вадим Сидур. Памятник современному состоянию,книга,"Мы вот как делаем: спускаем штаны, садимся друг против друга и начинаем двигать шкурку туда-сюда, делается приятно, чем быстрее двигаешь, тем приятней, а потом делается совсем приятно и вытекает беленькая молофейка.",шкурку,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, tran",конкретного физического действия,препозиция,1,1,двигать,двигать,Прямое,Отсутствует,"Мы вот как делаем: спускаем штаны, садимся друг против друга и начинаем двигать шкурку туда-сюда, делается приятно, чем быстрее двигаешь, тем приятней, а потом делается совсем приятно и вытекает беленькая молофейка."
группами на тротуаре или праздно слоняются,туда-сюда,",","мешая потоку пешеходов, привлекают взгляды, в","Всеволод Овчинников. Корни дуба. Впечатления и размышления об Англии и англичанах (1974-1978) // «Новый мир», 1979",Всеволод Овчинников,1926,Корни дуба. Впечатления и размышления об Англии и англичанах,1974-1978,1974,XX 2d half,публицистика,монография,путешествия | политика и общественная жизнь,«Новый мир»,журнал,"Люди, которые собираются группами на тротуаре или праздно слоняются туда-сюда, мешая потоку пешеходов, привлекают взгляды, в которых сквозь английскую сдержанность сквозит неодобрение.",слоняются,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, 3per, pres, indc",движения,препозиция,0,0,слоняются,слоняться,Прямое,Отсутствует,"Люди, которые собираются группами на тротуаре или праздно слоняются туда-сюда, мешая потоку пешеходов, привлекают взгляды, в которых сквозь английскую сдержанность сквозит неодобрение."
долго болтались по побережью Балтийского моря,туда-сюда,",","как пожарная команда, в самые жаркие",Н. Н. Никулин. Воспоминания о войне (1975),Н. Н. Никулин,1923,Воспоминания о войне,1975,1975,XX 2d half,публицистика,мемуары,,Никулин Н. Н. Воспоминания о войне,книга,"Мы долго болтались по побережью Балтийского моря туда-сюда, как пожарная команда, в самые жаркие места, уже стала притупляться в памяти Цопотская история.",моря,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, past, indc",движения,препозиция,4,4,болтались,болтаться,Переносное,Отсутствует,"Мы долго болтались по побережью Балтийского моря туда-сюда, как пожарная команда, в самые жаркие места, уже стала притупляться в памяти Цопотская история."
"печи, двигаясь на месте, как маятник,",туда-сюда,.,,"Владимир Линц. Стальные узоры // «Техника - молодежи», 1975",Владимир Линц,,Стальные узоры,1975,1975,XX 2d half,публицистика,статья,производство,«Техника - молодежи»,журнал,"Но случись заминка -- тотчас ролики начнут вращаться вперед-назад, и заготовки в соответствии с этим задержатся в печи, двигаясь на месте, как маятник, туда-сюда.",маятник,"В разные стороны, во все концы",1,Да,деепричастие,"GRND, impf, intr pres",движения,препозиция,4,4,двигаясь,двигаться,Прямое,Отсутствует,"Но случись заминка -- тотчас ролики начнут вращаться вперед-назад, и заготовки в соответствии с этим задержатся в печи, двигаясь на месте, как маятник, туда-сюда."
На улицах люди быстро снуют,туда-сюда,.,,Анатолий Эфрос. Профессия: режиссер (1975-1987),Анатолий Эфрос,1925,Профессия: режиссер,1975-1987,1975,XX 2d half,публицистика,эссе | мемуары,,Анатолий Эфрос. Професия: режиссер,книга,На улицах люди быстро снуют туда-сюда.,снуют,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, 3per, pres, indc",движения,препозиция,0,0,снуют,сновать,Прямое,Отсутствует,На улицах люди быстро снуют туда-сюда.
и принялся извиваться вместе с ними,туда-сюда,.,,Нина Воронель. Без прикрас. Воспоминания (1975-2003),Нина Воронель,1932,Без прикрас. Воспоминания,1975-2003,1975,XX 2d half,публицистика,мемуары,,Н. Воронель. Без прикрас. Воспоминания,книга,"Он решил проверить, мерещится это ему или и впрямь преследуют -- свернул в кривые переулки возле Белорусского вокзала и принялся извиваться вместе с ними туда-сюда.",ними,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, intr",движения,препозиция,0,0,извиваться,извиваться,Прямое,Отсутствует,"Он решил проверить, мерещится это ему или и впрямь преследуют -- свернул в кривые переулки возле Белорусского вокзала и принялся извиваться вместе с ними туда-сюда."
"клапан, и воздух будет автоматически перекачиваться",туда-сюда,.,,"Корней Арсеньев. «Погрузка-разгрузка — вот место, где узко» // «Техника - молодежи», 1976",Корней Арсеньев,,"«Погрузка-разгрузка — вот место, где узко»",1976,1976,XX 2d half,публицистика,статья,,«Техника - молодежи»,журнал,"Недостаток такого способа -- сравнительно быстрый износ камер, хотя, например, работа их не требует какого-либо дополнительного обслуживания -- достаточно предусмотреть в задней камере обратный клапан, и воздух будет автоматически перекачиваться туда-сюда.",перекачиваться,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, intr",движения,препозиция,0,0,перекачиваться,перекачиваться,Прямое,Отсутствует,"Недостаток такого способа -- сравнительно быстрый износ камер, хотя, например, работа их не требует какого-либо дополнительного обслуживания -- достаточно предусмотреть в задней камере обратный клапан, и воздух будет автоматически перекачиваться туда-сюда."
твоя роль приятная и простая: прогуляться,туда-сюда,",",а потом посмотреть киношку».,Валерий Аграновский. Вторая древнейшая. Беседы о журналистике (1976-1999),Валерий Аграновский,1929,Вторая древнейшая. Беседы о журналистике,1976-1999,1976,XX 2d half,публицистика,монография,искусство и культура,В. Аграновский. Вторая древнейшая. Беседы о журналистике,книга,"Беззаботный, как будто кто-то сказал ему, что все это -- кино, «не дрейфь, пацан, твоя роль приятная и простая: прогуляться туда-сюда, а потом посмотреть киношку».",прогуляться,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, perf, intr",движения,препозиция,0,0,прогуляться,прогуляться,Прямое,Отсутствует,"Беззаботный, как будто кто-то сказал ему, что все это -- кино, «не дрейфь, пацан, твоя роль приятная и простая: прогуляться туда-сюда, а потом посмотреть киношку»."
,туда,",","сюда, в «Красный мак» -- да, только",Виктор Некрасов. Взгляд и Нечто (1977),Виктор Некрасов,1911,Взгляд и Нечто,1977,1977,XX 2d half,художественная,повесть,,Виктор Некрасов. Записки зеваки,книга,"Туда, сюда, в «Красный мак» -- да, только что здесь был, выпил стаканчик вина и...",,"В разные стороны, во все концы",1,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Прямое,Отсутствует,"Туда, сюда, в «Красный мак» -- да, только что здесь был, выпил стаканчик вина и..."
Ткнулся бедняга,туда-сюда,",","совсем было нос повесил, но повезло","Юрий Егоров. «Летающая тарелка»-кран // «Техника - молодежи», 1977",Юрий Егоров,,«Летающая тарелка»-кран,1977,1977,XX 2d half,публицистика,заметка,техника,«Техника - молодежи»,журнал,"Ткнулся бедняга туда-сюда, совсем было нос повесил, но повезло Юрию Бойко.",бедняга,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, intr masc, sing, past, indc",конкретного физического действия,препозиция,1,1,ткнулся,ткнуться,Прямое,Отсутствует,"Ткнулся бедняга туда-сюда, совсем было нос повесил, но повезло Юрию Бойко."
Брежнев непонятливо поворачивал голову,туда,,"сюда, а потом громко спросил у",А. С. Черняев. Дневник (1978),А. С. Черняев,1921,Дневник,1978,1978,XX 2d half,публицистика,"дневник, записные книжки",частная жизнь | политика и общественная жизнь,"Черняев А.С. 1991 год: Дневник. М.: ТЕРРА, Республика, 1997.",книга,"Брежнев непонятливо поворачивал голову туда сюда, а потом громко спросил у Александрова: «Кто это?!»",голову,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, tran masc, sing, past, indc",движения,препозиция,1,1,поворачивал,поворачивать,Прямое,Отсутствует,"Брежнев непонятливо поворачивал голову туда сюда, а потом громко спросил у Александрова: «Кто это?!»"
"рюкзачок, подошел к араю пещёры, послонялся",туда-сюда,,и вдруг наткнулся взглядом на обрывок,Константин Серафимов. Экспедиция во мрак (1978-1996),Константин Серафимов,1953,Экспедиция во мрак,1978-1996,1978,XX 2d half,публицистика,монография,спорт,,книга,"Скинул у костра рюкзачок, подошел к араю пещёры, послонялся туда-сюда и вдруг наткнулся взглядом на обрывок веревки, припорошенный снегом на площадке.",послонялся,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr masc, sing, past, indc",движения,препозиция,0,0,послонялся,послоняться,Прямое,Присутствует,"Скинул у костра рюкзачок, подошел к араю пещёры, послонялся туда-сюда и вдруг наткнулся взглядом на обрывок веревки, припорошенный снегом на площадке."
Сунулся,туда,",","сюда, на четвереньках прополз под поваленным",В. Ф. Кормер. Крот истории или революция в республике S=F (1979),В. Ф. Кормер,1939,Крот истории или революция в республике S=F,1979,1979,XX 2d half,художественная проза,роман,,"Кормер В. Ф. Крот истории. Собрание сочинений. Том 2. М.: Время, 2009",книга,"Сунулся туда, сюда, на четвереньках прополз под поваленным стволом (неужели сад настолько запущен?!",Сунулся,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, intr masc, sing, past, indc",движения,препозиция,0,0,сунулся,сунуться,Прямое,Отсутствует,"Сунулся туда, сюда, на четвереньках прополз под поваленным стволом (неужели сад настолько запущен?!"
"В-пятых, тетя Соня бродит",туда-сюда,,с собачкой на руках.,М. М. Рощин. Спешите делать добро (1979),М. М. Рощин,1933,Спешите делать добро,1979,1979,XX 2d half,художественная,пьеса,,"Москва, изд-во «Советский писатель», 1984",электронный текст,"В-пятых, тетя Соня бродит туда-сюда с собачкой на руках.",бродит,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr sing, 3per, pres, indc",движения,препозиция,0,0,бродит,бродить,Прямое,Отсутствует,"В-пятых, тетя Соня бродит туда-сюда с собачкой на руках."
"группки военных встречались, и машин много",туда-сюда,,сновало.,Вячеслав Кондратьев. Сашка (1979),Вячеслав Кондратьев,1920,Сашка,1979,1979,XX 2d half,художественная,повесть,,"Вячеслав Кондратьев «Сашка», Виктор Курочкин «На войне как на войне»",книга,"Войско, правда, не попадалось, войско-то ночами идет, но отдельные группки военных встречались, и машин много туда-сюда сновало.",много,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr neut, sing, past, indc",движения,постпозиция,0,0,сновало,сновать,Прямое,Отсутствует,"Войско, правда, не попадалось, войско-то ночами идет, но отдельные группки военных встречались, и машин много туда-сюда сновало."
"старается, ходит в гости, по знакомым,",туда,",","сюда, молодого человека привела еще.",Людмила Петрушевская. Изолированный бокс (1980-1990),Людмила Петрушевская,1938,Изолированный бокс,1980-1990,1980,XX 2d half,художественная,пьеса,,Петрушевская Л. Такая девочка,книга,"Маруся старается, ходит в гости, по знакомым, туда, сюда, молодого человека привела ещё.",знакомым,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr sing, 3per, pres, indc",движения,препозиция,4,4,ходит,ходить,Прямое,Отсутствует,"Маруся старается, ходит в гости, по знакомым, туда, сюда, молодого человека привела ещё."
"было, как он уединился и вышагивал",туда-сюда,,в стороне от своей группы.,В. И. Аблазов. Дневник (1980),В. И. Аблазов,1940,Дневник,1980,1980,XX 2d half,публицистика,"дневник, записные книжки",администрация и управление | армия и вооруженные конфликты | частная жизнь | техника,,электронный текст,"Видно было, как он уединился и вышагивал туда-сюда в стороне от своей группы.",вышагивал,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr masc, sing, past, indc",конкретного физического действия,препозиция,0,0,вышагивал,вышагивать,Прямое,Отсутствует,"Видно было, как он уединился и вышагивал туда-сюда в стороне от своей группы."
Он,туда-сюда,-,орёт!,"В. Г. Соколовский. Облако, золотая полянка (1980) // «Уральская новь», 2004",В. Г. Соколовский,1945,"Облако, золотая полянка",1980,1980,XX 2d half,художественная,повесть,,«Уральская новь»,журнал,Он туда-сюда -- орёт!,он,"Ничего, сойдет ",2,Да,местоимение,"NPRO, masc, 3per, Anph sing, nomn",,препозиция,0,0,он,он,Переносное,Отсутствует,Он туда-сюда -- орёт!
"Нет, полковник ещё",туда-сюда,.,,А. А. Образцов. Отцовская жилка (1980-1995),А. А. Образцов,1944,Отцовская жилка,1980-1995,1980,XX 2d half,художественная,пьеса,,,электронный текст,"Нет, полковник ещё туда-сюда.",ещё,"Ничего, сойдет ",2,Да,существительное,"NOUN, anim, masc sing, nomn",,препозиция,1,1,полковник,полковник,Переносное,Присутствует,"Нет, полковник ещё туда-сюда."
"не игрушка, чтобы мной можно было",туда-сюда,,вертеть!..,Л. Н. Разумовская. Счастье (1981),Л. Н. Разумовская,1946,Счастье,1981,1981,XX 2d half,художественная,пьеса,,,электронный текст,"Я тебе не игрушка, чтобы мной можно было туда-сюда вертеть!..",было,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, tran",конкретного физического действия,постпозиция,0,0,вертеть,вертеть,Прямое,Отсутствует,"Я тебе не игрушка, чтобы мной можно было туда-сюда вертеть!.."
Двигалась,туда-сюда,,"по рельсам железная махина, поднимала плиты","Валентин Новиков. До первого снега // «Уральский следопыт», 1982",Валентин Новиков,,До первого снега,1982,1982,XX 2d half,художественная,повесть,,«Уральский следопыт»,журнал,"Двигалась туда-сюда по рельсам железная махина, поднимала плиты, поддоны, фермы и ничем, абсолютно ничем не привлекала меня.",двигалась,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr femn, sing, past, indc",движения,препозиция,0,0,двигалась,двигаться,Прямое,Отсутствует,"Двигалась туда-сюда по рельсам железная махина, поднимала плиты, поддоны, фермы и ничем, абсолютно ничем не привлекала меня."
"шарик, бумажная лента, текстолитовая палочка метались",туда-сюда,,между пластинами конденсатора.,"Владимир Околотин. Что же изобретено? // «Техника - молодежи», 1982",Владимир Околотин,,Что же изобретено?,1982,1982,XX 2d half,учебно-научная,статья,электроника | техника,«Техника - молодежи»,журнал,"Металлический шарик, бумажная лента, текстолитовая палочка метались туда-сюда между пластинами конденсатора.",метались,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, past, indc",движения,препозиция,0,0,метались,метаться,Прямое,Отсутствует,"Металлический шарик, бумажная лента, текстолитовая палочка метались туда-сюда между пластинами конденсатора."
"допустить возможности сравнения, возможности свободно разъезжать",туда-сюда,,"и свободно обсуждать (увидев изнутри, а",А. Д. Сахаров. Воспоминания (1983-1989),А. Д. Сахаров,1921,Воспоминания,1983-1989,1983,XX 2d half,публицистика,мемуары,,,книга,"Тем более нельзя -- с точки зрения органов власти СССР -- допустить возможности сравнения, возможности свободно разъезжать туда-сюда и свободно обсуждать (увидев изнутри, а не как турист), где что хуже, где что лучше, и нельзя допустить, чтобы людей не удерживала больше от эмиграции необратимость этого шага.",разъезжать,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, intr",движения,препозиция,0,0,разъезжать,разъезжать,Прямое,Отсутствует,"Тем более нельзя -- с точки зрения органов власти СССР -- допустить возможности сравнения, возможности свободно разъезжать туда-сюда и свободно обсуждать (увидев изнутри, а не как турист), где что хуже, где что лучше, и нельзя допустить, чтобы людей не удерживала больше от эмиграции необратимость этого шага."
У девочек было ещё,туда-сюда,:,"койки застланы, кое-где даже картинки на",И. Грекова. Фазан (1984),И. Грекова,1907,Фазан,1984,1984,XX 2d half,художественная,повесть,,На испытаниях,книга,"У девочек было ещё туда-сюда: койки застланы, кое-где даже картинки на стенах -- кошечки с бантами, белокурые ангелы...",ещё,"Ничего, сойдет ",2,Да,глагол (личная форма),"VERB, impf, intr neut, sing, past, indc",локализации,препозиция,1,1,было,быть,Переносное,Присутствует,"У девочек было ещё туда-сюда: койки застланы, кое-где даже картинки на стенах -- кошечки с бантами, белокурые ангелы..."
"исповеди простоять, он и так бегает",туда-сюда,.,,Протоиерей Димитрий Смирнов. Проповеди (1984-1989),Протоиерей Димитрий Смирнов,1951,Проповеди,1984-1989,1984,XX 2d half,церковно-богословская,проповедь,религия,Прот. Димитрий Смирнов. Проповеди,книга,"Подходит человек благочестивый, верующий, любящий Бога -- и забывает обо всем: что за ним стоит толпа из ста человек; что люди нервничают из-за того, что служба задерживается -- может, кому домой надо скорей спешить; что батюшке тоже во время службы нужно хоть немножко, хоть пять минут помолиться, а не всю службу у исповеди простоять, он и так бегает туда-сюда.",бегает,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr sing, 3per, pres, indc",движения,препозиция,0,0,бегает,бегать,Прямое,Отсутствует,"Подходит человек благочестивый, верующий, любящий Бога -- и забывает обо всем: что за ним стоит толпа из ста человек; что люди нервничают из-за того, что служба задерживается -- может, кому домой надо скорей спешить; что батюшке тоже во время службы нужно хоть немножко, хоть пять минут помолиться, а не всю службу у исповеди простоять, он и так бегает туда-сюда."
Хозяева множества вещёй суетливо метались,туда-сюда,",",руководитель торопил и торопил.,Владимир Голяховский. Русский доктор в Америке (1984-2001),Владимир Голяховский,1940-1950,Русский доктор в Америке,1984-2001,1984,XX 2d half,публицистика,мемуары,,Владимир Голяховский. Русский доктор в Америке,книга,"Хозяева множества вещёй суетливо метались туда-сюда, руководитель торопил и торопил.",метались,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, past, indc",движения,препозиция,0,0,метались,метаться,Прямое,Присутствует,"Хозяева множества вещёй суетливо метались туда-сюда, руководитель торопил и торопил."
Когда сегодняшний день идет,туда-сюда,",","еще живется, а как плохо -- так",Н. М. Амосов. Дневник (1986),Н. М. Амосов,1913,Дневник,1986,1986,XX 2d half,публицистика,"дневник, записные книжки",частная жизнь | здоровье и медицина | политика и общественная жизнь,,электронный текст,"Когда сегодняшний день идет туда-сюда, ещё живется, а как плохо -- так край.",идет,"Ничего, сойдет ",2,Да,глагол (личная форма),"VERB, impf, intr sing, 3per, pres, indc",движения,препозиция,0,0,идет,идти,Переносное,Отсутствует,"Когда сегодняшний день идет туда-сюда, ещё живется, а как плохо -- так край."
ещё на гитаре или на балалайке --,туда-сюда,",",но только не на пианино.,Ирина Пивоварова. О чем думает моя голова (1986),Ирина Пивоварова,1939,О чем думает моя голова,1986,1986,XX 2d half,художественная,рассказ | цикл,,И. М. Пивоварова. О чем думает моя голова,книга,"Ну, ещё на гитаре или на балалайке -- туда-сюда, но только не на пианино.",балалайке ,"Ничего, сойдет ",2,Да,существительное,"NOUN, inan, femn sing, datv",,препозиция,3,3,на гитаре,на гитара,Переносное,Присутствует,"Ну, ещё на гитаре или на балалайке -- туда-сюда, но только не на пианино."
"Он не рыскает, как тротуарная собака,",туда,--,"сюда, он движется сосредоточенно, по прямой","Александр Чудаков. Ложится мгла на старые ступени (1987-2000) // «Знамя», 2000",Александр Чудаков,1938,Ложится мгла на старые ступени,1987-2000,1987,XX 2d half,художественная,роман,,«Знамя»,журнал,"Он не рыскает, как тротуарная собака, туда--сюда, он движется сосредоточенно, по прямой -- к знаемой цели.",собака,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr sing, 3per, pres, indc, Infr",движения,препозиция,3,3,рыскает,рыскать,Прямое,Отсутствует,"Он не рыскает, как тротуарная собака, туда--сюда, он движется сосредоточенно, по прямой -- к знаемой цели."
"ожиданию, и он растерялся -- стал метаться",туда-сюда,",",чтобы услышать хотя бы гул двигателя.,Владимир Санин. Не говори ты Арктике ― прощай (1987),Владимир Санин,1928,Не говори ты Арктике ― прощай,1987,1987,XX 2d half,публицистика,монография,путешествия | наука и технологии,В. М. Санин. Не говори ты Арктике ― прощай,книга,"Поначалу Семенов так и поступил, несколько минут ждал, но поземка усиливалась, ощущение беспомощности не способствует хладнокровному ожиданию, и он растерялся -- стал метаться туда-сюда, чтобы услышать хотя бы гул двигателя.",метаться,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, intr",движения,препозиция,0,0,метаться,метаться,Прямое,Отсутствует,"Поначалу Семенов так и поступил, несколько минут ждал, но поземка усиливалась, ощущение беспомощности не способствует хладнокровному ожиданию, и он растерялся -- стал метаться туда-сюда, чтобы услышать хотя бы гул двигателя."
"как будто он был живой, носился",туда-сюда,",",подпрыгивал и взлетал сам по себе.,Евгений Велтистов. Новые приключения Электроника (1988),Евгений Велтистов,1934,Новые приключения Электроника,1988,1988,XX 2d half,художественная,повесть,,Евгений Велтистов. Приключения Электроника,книга,"От него не отрывали взгляда, как будто он был живой, носился туда-сюда, подпрыгивал и взлетал сам по себе.",носился,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr masc, sing, past, indc",движения,препозиция,0,0,носился,носиться,Прямое,Отсутствует,"От него не отрывали взгляда, как будто он был живой, носился туда-сюда, подпрыгивал и взлетал сам по себе."
только в 1946 году (это ещё,туда-сюда,"),","но и в 1954, после смерти",Николай Троицкий. Дневник (1988),Николай Троицкий,1960,Дневник,1988,1988,XX 2d half,бытовая,"дневник, записные книжки",политика и общественная жизнь | частная жизнь | история | искусство и культура,,электронный текст,"И не только в 1946 году (это ещё туда-сюда), но и в 1954, после смерти Сталина.",ещё,"Ничего, сойдет ",2,Да,частица,PRCL,,препозиция,1,1,это,это,Переносное,Присутствует,"И не только в 1946 году (это ещё туда-сюда), но и в 1954, после смерти Сталина."
Летают,туда-сюда,.,,Николай Коляда. Рогатка (1989),Николай Коляда,1957,Рогатка,1989,1989,XX 2d half,художественная,пьеса,,,книга,Летают туда-сюда.,летают,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, 3per, pres, indc",движения,препозиция,0,0,летают,летать,Прямое,Отсутствует,Летают туда-сюда.
"Туда-сюда,",туда-сюда,.,,"Мурат Аджиев. Мгла над Тындой // «Вокруг света», 1989",Мурат Аджиев,,Мгла над Тындой,1989,1989,XX 2d half,публицистика,статья,путешествия,«Вокруг света»,журнал,"Туда-сюда, туда-сюда.",туда-сюда,"В разные стороны, во все концы",1,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Прямое,Отсутствует,"Туда-сюда, туда-сюда."
паровой машине (ещё и углами локтей,туда-сюда,,толкают).,"Георгий Гачев. Жизнемысли // Библиотека «Огонек», 1989",Георгий Гачев,1929,Жизнемысли,1989,1989,XX 2d half,публицистика,эссе,,Библиотека «Огонек»,журнал,"Такт на 3 есть «троица» -- совершенное и полное число: ибо лишь тремя точками можно осуществить поворот кругом (окружность лишь через треугольник всегда описуема), тогда как остальные такты: на 2 и 4 -- парные, квадратные, прямоугольные -- выражают уже машинную цивилизацию: в танго и фокстроте ходят -- как шатунно-кривошипный механизм в паровой машине (ещё и углами локтей туда-сюда толкают).",локтей,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, tran plur, 3per, pres, indc",конкретного физического действия,постпозиция,0,0,толкают,толкать,Прямое,Присутствует,"Такт на 3 есть «троица» -- совершенное и полное число: ибо лишь тремя точками можно осуществить поворот кругом (окружность лишь через треугольник всегда описуема), тогда как остальные такты: на 2 и 4 -- парные, квадратные, прямоугольные -- выражают уже машинную цивилизацию: в танго и фокстроте ходят -- как шатунно-кривошипный механизм в паровой машине (ещё и углами локтей туда-сюда толкают)."
